"name";"onsCode";"nomiscode";"nomisoacodes"
"Wyre Forest";"E07000239";1946157198;"1254257870...1254258192;1254263548...1254263555"
"Bedford";"E06000055";1946157199;"1254182415...1254182875;1254265398...1254265437"
"Central Bedfordshire";"E06000056";1946157200;"1254182027...1254182414;1254182876...1254183234;1254263339...1254263386"
"Luton";"E06000032";1946157201;"1254173868...1254174418;1254264961...1254264974;1254265287...1254265301;1254265330...1254265338"
"Peterborough";"E06000031";1946157202;"1254173350...1254173867;1254263214...1254263299"
"Southend-on-Sea";"E06000033";1946157203;"1254174419...1254174984;1254262094...1254262102"
"Thurrock";"E06000034";1946157204;"1254174985...1254175436;1254262354...1254262365;1254266774...1254266808"
"Cambridge";"E07000008";1946157205;"1254184738...1254185059;1254259370...1254259397;1254259651...1254259671;1254259766"
"East Cambridgeshire";"E07000009";1946157206;"1254185060...1254185289;1254258352...1254258352;1254265364...1254265397"
"Fenland";"E07000010";1946157207;"1254185290...1254185573;1254262817...1254262822"
"Huntingdonshire";"E07000011";1946157208;"1254185574...1254186068;1254265438...1254265479"
"South Cambridgeshire";"E07000012";1946157209;"1254186069...1254186491;1254262823...1254262872"
"Basildon";"E07000066";1946157210;"1254201763...1254202317;1254263405...1254263410"
"Braintree";"E07000067";1946157211;"1254202318...1254202744;1254265606...1254265651"
"Brentwood";"E07000068";1946157212;"1254202745...1254202973;1254262143...1254262151"
"Castle Point";"E07000069";1946157213;"1254202974...1254203251;1254265652...1254265660"
"Chelmsford";"E07000070";1946157214;"1254203252...1254203751;1254262989...1254263030"
"Colchester";"E07000071";1946157215;"1254203752...1254204245;1254267859...1254267948"
"Epping Forest";"E07000072";1946157216;"1254204246...1254204653;1254262152...1254262162"
"Harlow";"E07000073";1946157217;"1254204654...1254204916;1254262163...1254262173"
"Maldon";"E07000074";1946157218;"1254204917...1254205116;1254262103...1254262104"
"Rochford";"E07000075";1946157219;"1254205117...1254205375;1254262105...1254262110"
"Tendring";"E07000076";1946157220;"1254205376...1254205865;1254262057...1254262062"
"Uttlesford";"E07000077";1946157221;"1254205866...1254206085;1254262063...1254262093"
"Broxbourne";"E07000095";1946157222;"1254211975...1254212248;1254261830...1254261845"
"Dacorum";"E07000096";1946157223;"1254212249...1254212693;1254261746...1254261760"
"East Hertfordshire";"E07000242";1946157224;"1254212694...1254213106;1254261099...1254261103;1254261613...1254261625;1254261846...1254261852"
"Hertsmere";"E07000098";1946157225;"1254213107...1254213402;1254261871...1254261883"
"North Hertfordshire";"E07000099";1946157226;"1254213403...1254213794;1254261761...1254261786"
"St Albans";"E07000240";1946157227;"1254213795...1254214215;1254261787...1254261794"
"Stevenage";"E07000243";1946157228;"1254214216...1254214473;1254261795...1254261808"
"Three Rivers";"E07000102";1946157229;"1254214474...1254214740;1254261884...1254261893"
"Watford";"E07000103";1946157230;"1254214741...1254214991;1254261809...1254261829"
"Welwyn Hatfield";"E07000241";1946157231;"1254214992...1254215304;1254264923...1254264960"
"Breckland";"E07000143";1946157232;"1254227491...1254227893;1254261976...1254262008"
"Broadland";"E07000144";1946157233;"1254227894...1254228305;1254261919...1254261927"
"Great Yarmouth";"E07000145";1946157234;"1254228306...1254228619;1254261928...1254261947"
"King`s Lynn and West Norfolk";"E07000146";1946157235;"1254228620...1254229085;1254261948...1254261969"
"North Norfolk";"E07000147";1946157236;"1254229086...1254229453;1254261970...1254261975"
"Norwich";"E07000148";1946157237;"1254229454...1254229876;1254265480...1254265514"
"South Norfolk";"E07000149";1946157238;"1254229877...1254230269;1254266164...1254266190"
"Babergh";"E07000200";1946157239;"1254245044...1254245333;1254262009...1254262026"
"Forest Heath";"E07000201";1946157240;"1254245334...1254245501;1254258254...1254258258;1254258353...1254258353;1254265570...1254265588"
"Ipswich";"E07000202";1946157241;"1254245502...1254245887;1254262873...1254262921"
"Mid Suffolk";"E07000203";1946157242;"1254245888...1254246172;1254265339...1254265356"
"St Edmundsbury";"E07000204";1946157243;"1254246173...1254246505;1254262027...1254262056"
"Suffolk Coastal";"E07000205";1946157244;"1254246506...1254246908;1254258195...1254258195;1254265515...1254265551"
"Waveney";"E07000206";1946157245;"1254246909...1254247303;1254265552...1254265569"
"Camden";"E09000007";1946157246;"1254100935...1254101651;1254266191...1254266222"
"City of London";"E09000001";1946157247;"1254096897...1254096922;1254259139...1254259143"
"Hackney";"E09000012";1946157248;"1254105236...1254105863;1254267710...1254267830"
"Hammersmith and Fulham";"E09000013";1946157249;"1254105864...1254106457;1254259587...1254259617"
"Haringey";"E09000014";1946157250;"1254106458...1254107181;1254258316...1254258316;1254262366...1254262393"
"Islington";"E09000019";1946157251;"1254109938...1254110564;1254266278...1254266347"
"Kensington and Chelsea";"E09000020";1946157252;"1254110565...1254111180;1254266581...1254266595"
"Lambeth";"E09000022";1946157253;"1254111667...1254112597;1254258322...1254258322;1254263461...1254263494"
"Lewisham";"E09000023";1946157254;"1254112598...1254113437;1254258305...1254258306;1254258319...1254258319;1254265357...1254265363;1254265589...1254265605;1254265661...1254265680"
"Newham";"E09000025";1946157255;"1254114065...1254114747;1254266454...1254266580"
